"Race","Sex","Age","lx"
"Total","Male","88",8558.14102548787
"Total","Male","89",7162.6091883258
"Total","Male","90",5913.4112098409
"Total","Male","91",4806.85383679834
"Total","Male","92",3847.00663642339
"Total","Male","93",3036.33473985908
"Total","Male","94",2358.42216574248
"Total","Male","95",1797.38781794471
"Total","Male","96",1329.66608093307
"Total","Male","97",958.893808365198
"Total","Male","98",667.584296963113
"Total","Male","99",448.892889337265
"Total","Male","100+",292.989969687197
