"Race","Sex","Age","lx"
"Total","Male","88",6195.76941095194
"Total","Male","89",5151.34933624008
"Total","Male","90",4207.68935745583
"Total","Male","91",3380.95860393811
"Total","Male","92",2684.70534867686
"Total","Male","93",2119.50422263963
"Total","Male","94",1661.82207687683
"Total","Male","95",1284.25610101041
"Total","Male","96",969.006112432404
"Total","Male","97",716.221909189168
"Total","Male","98",518.318486913214
"Total","Male","99",366.397551093824
"Total","Male","100+",252.03068543448
