"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"1.83773961","69.69172911","75.58666907","103.887293807473","1","364.774888893236","574.552071473584","332.973750450131","175.597723464853","1","1","1","1"
2021,"1.80565802703","66.72221768","72.75725629","103.886037230873","1.01924488","364.774888893236","574.552071473584","332.973750450131","175.597723464853","1.01924488","1.01924488","1.01924488","1.01924488"
2022,"1.76506602342","73.94127565","79.98842476","103.885128332053","1.01924488","364.774888893236","574.552071473584","332.973750450131","175.597723464853","1.01924488","1.01924488","1.01924488","1.01924488"
2023,"1.71868618613","74.08308704","80.1461275","103.884561466756","1.01924488","364.774888893236","574.552071473584","332.973750450131","175.597723464853","1.01924488","1.01924488","1.01924488","1.01924488"
2024,"1.67168003424","74.25610555","80.33792514","103.884313833051","1.01924488","364.774888893236","574.552071473584","332.973750450131","175.597723464853","1.01924488","1.01924488","1.01924488","1.01924488"
2025,"1.62796237855","74.41195446","80.51010495","103.884359692972","1.01924488","376.462697445253","582.581545773032","330.686541480775","163.989458776244","1.01924488","1.01924488","1.01924488","1.01924488"
2026,"1.58744943154","74.5830465","80.69846928","103.884673404233","1.03713729","376.462697445253","582.581545773032","330.686541480775","163.989458776244","1.03713729","1.03713729","1.03713729","1.03713729"
2027,"1.5494647695","74.74348307","80.87448027","103.885230122015","1.03713729","376.462697445253","582.581545773032","330.686541480775","163.989458776244","1.03713729","1.03713729","1.03713729","1.03713729"
2028,"1.51226905688","74.91132997","81.05795876","103.886007097613","1.03713729","376.462697445253","582.581545773032","330.686541480775","163.989458776244","1.03713729","1.03713729","1.03713729","1.03713729"
2029,"1.47675138065","75.0726166","81.23362577","103.886984786251","1.03713729","376.462697445253","582.581545773032","330.686541480775","163.989458776244","1.03713729","1.03713729","1.03713729","1.03713729"
2030,"1.4427879939","75.23735333","81.41237566","103.888148635217","1.03713729","383.288125586669","597.6407959057","329.064653254678","166.798466277463","1.03713729","1.03713729","1.03713729","1.03713729"
2031,"1.41030857019","75.39795542","81.5859898","103.889492693715","1.05387395","383.288125586669","597.6407959057","329.064653254678","166.798466277463","1.05387395","1.05387395","1.05387395","1.05387395"
2032,"1.37924874648","75.55995395","81.76045475","103.891024207814","1.05387395","383.288125586669","597.6407959057","329.064653254678","166.798466277463","1.05387395","1.05387395","1.05387395","1.05387395"
2033,"1.34928583881","75.71921995","81.93132221","103.892771408874","1.05387395","383.288125586669","597.6407959057","329.064653254678","166.798466277463","1.05387395","1.05387395","1.05387395","1.05387395"
2034,"1.32013268172","75.87880566","82.10187419","103.894794526285","1.05387395","383.288125586669","597.6407959057","329.064653254678","166.798466277463","1.05387395","1.05387395","1.05387395","1.05387395"
2035,"1.2918805597","76.03646201","82.26970489","103.897205610308","1.05387395","384.6412581983","605.955290518251","327.943358571959","172.888857971707","1.05387395","1.05387395","1.05387395","1.05387395"
2036,"1.26417858084","76.19386671","82.43661922","103.900208853754","1.06961038","384.6412581983","605.955290518251","327.943358571959","172.888857971707","1.06961038","1.06961038","1.06961038","1.06961038"
2037,"1.23785645975","76.34979628","82.60131438","103.90414648434","1.06961038","384.6412581983","605.955290518251","327.943358571959","172.888857971707","1.06961038","1.06961038","1.06961038","1.06961038"
2038,"1.21205650252","76.50518337","82.76478131","103.909303360656","1.06961038","384.6412581983","605.955290518251","327.943358571959","172.888857971707","1.06961038","1.06961038","1.06961038","1.06961038"
2039,"1.18717577262","76.6593495","82.92632337","103.91336459907","1.06961038","384.6412581983","605.955290518251","327.943358571959","172.888857971707","1.06961038","1.06961038","1.06961038","1.06961038"
2040,"1.1631493744","76.81282002","83.08649399","103.91690648632","1.06961038","384.13194183947","609.521419038653","327.221508293866","171.331189518285","1.06961038","1.06961038","1.06961038","1.06961038"
2041,"1.13985224892","76.96522703","83.24491235","103.919982579805","1.08447177","384.13194183947","609.521419038653","327.221508293866","171.331189518285","1.08447177","1.08447177","1.08447177","1.08447177"
2042,"1.11740988294","77.11686288","83.40189386","103.922861097994","1.08447177","384.13194183947","609.521419038653","327.221508293866","171.331189518285","1.08447177","1.08447177","1.08447177","1.08447177"
2043,"1.09576228454","77.26753515","83.55724195","103.925599839206","1.08447177","384.13194183947","609.521419038653","327.221508293866","171.331189518285","1.08447177","1.08447177","1.08447177","1.08447177"
2044,"1.07484456312","77.41740296","83.71113499","103.92820450402","1.08447177","384.13194183947","609.521419038653","327.221508293866","171.331189518285","1.08447177","1.08447177","1.08447177","1.08447177"
2045,"1.05458451525","77.56637385","83.86348224","103.93065306216","1.08447177","379.624274840725","609.360108719545","326.431353973803","171.769117036583","1.08447177","1.08447177","1.08447177","1.08447177"
2046,"1.041897929695","77.71454402","84.0143872","103.932919541763","1.08447177","379.624274840725","609.360108719545","326.431353973803","171.769117036583","1.08447177","1.08447177","1.08447177","1.08447177"
2047,"1.02963241914","77.86186505","84.16381685","103.935012736804","1.08447177","379.624274840725","609.360108719545","326.431353973803","171.769117036583","1.08447177","1.08447177","1.08447177","1.08447177"
2048,"1.01790525585","78.00839901","84.31183869","103.936955445914","1.08447177","379.624274840725","609.360108719545","326.431353973803","171.769117036583","1.08447177","1.08447177","1.08447177","1.08447177"
2049,"1.00633147564","78.15414097","84.45845127","103.9387286242","1.08447177","379.624274840725","609.360108719545","326.431353973803","171.769117036583","1.08447177","1.08447177","1.08447177","1.08447177"
2050,"0.99509805255","78.29912874","84.60370569","103.940311018938","1.08447177","374.085567629178","606.104752127593","325.77377304843","170.14627930691","1.08447177","1.08447177","1.08447177","1.08447177"
2051,"0.98409874464","78.44336692","84.74761739","103.941674594459","1.08447177","374.085567629178","606.104752127593","325.77377304843","170.14627930691","1.08447177","1.08447177","1.08447177","1.08447177"
2052,"0.973408845695","78.58690118","84.89023466","103.94279949294","1.08447177","374.085567629178","606.104752127593","325.77377304843","170.14627930691","1.08447177","1.08447177","1.08447177","1.08447177"
2053,"0.96307003783","78.7297476","85.03158359","103.942940793964","1.08447177","374.085567629178","606.104752127593","325.77377304843","170.14627930691","1.08447177","1.08447177","1.08447177","1.08447177"
2054,"0.95315478159","78.8719423","85.17170306","103.943414993891","1.08447177","374.085567629178","606.104752127593","325.77377304843","170.14627930691","1.08447177","1.08447177","1.08447177","1.08447177"
2055,"0.9431574516","79.0135129","85.31063409","103.944212011744","1.08447177","367.738011070865","600.676238756562","325.617418216686","167.618910616483","1.08447177","1.08447177","1.08447177","1.08447177"
2056,"0.933628906775","79.15449148","85.44841978","103.945223436032","1.08447177","367.738011070865","600.676238756562","325.617418216686","167.618910616483","1.08447177","1.08447177","1.08447177","1.08447177"
2057,"0.92426367192","79.29491903","85.58509217","103.946368284595","1.08447177","367.738011070865","600.676238756562","325.617418216686","167.618910616483","1.08447177","1.08447177","1.08447177","1.08447177"
2058,"0.915044846705","79.43482593","85.72070147","103.947595740809","1.08447177","367.738011070865","600.676238756562","325.617418216686","167.618910616483","1.08447177","1.08447177","1.08447177","1.08447177"
2059,"0.90613348524","79.57425234","85.85528694","103.94887787482","1.08447177","367.738011070865","600.676238756562","325.617418216686","167.618910616483","1.08447177","1.08447177","1.08447177","1.08447177"
2060,"0.89740862145","79.71323085","85.98888011","103.950202515374","1.08447177","360.730004980674","593.482301057919","327.337706578892","165.210277372424","1.08447177","1.08447177","1.08447177","1.08447177"
2061,"0.88879592226","79.85179695","86.12152828","103.95156776972","1.08447177","360.730004980674","593.482301057919","327.337706578892","165.210277372424","1.08447177","1.08447177","1.08447177","1.08447177"
2062,"0.88018259126","79.98998953","86.25327132","103.952977762286","1.08447177","360.730004980674","593.482301057919","327.337706578892","165.210277372424","1.08447177","1.08447177","1.08447177","1.08447177"
2063,"0.87184045608","80.12783113","86.38414744","103.954441466181","1.08447177","360.730004980674","593.482301057919","327.337706578892","165.210277372424","1.08447177","1.08447177","1.08447177","1.08447177"
2064,"0.86364834657","80.26536096","86.51418407","103.955970305939","1.08447177","360.730004980674","593.482301057919","327.337706578892","165.210277372424","1.08447177","1.08447177","1.08447177","1.08447177"
2065,"0.85544567095","80.40261055","86.6434188","103.957577195158","1.08447177","367.439189691736","606.889878186266","329.84517044006","167.536738224325","1.08447177","1.08447177","1.08447177","1.08447177"
