"Race","Sex","Age","lx"
"Total","Male","87",13178.9644368799
"Total","Male","88",11458.9584962642
"Total","Male","89",9848.51027516763
"Total","Male","90",8366.60277294804
"Total","Male","91",7019.89705371311
"Total","Male","92",5811.17305770953
"Total","Male","93",4737.62301491982
"Total","Male","94",3802.56584092249
"Total","Male","95",2978.2877649761
"Total","Male","96",2254.87936728165
"Total","Male","97",1644.64798735724
"Total","Male","98",1134.23999128086
"Total","Male","99",753.974560678025
"Total","Male","100+",476.511922348512
