"Race","Sex","Age","lx"
"Total","Male","87",13027.5015282239
"Total","Male","88",11383.5817156736
"Total","Male","89",9858.18176577337
"Total","Male","90",8462.2309247452
"Total","Male","91",7202.0239533496
"Total","Male","92",6062.30972504175
"Total","Male","93",5048.79664407502
"Total","Male","94",4152.09917060996
"Total","Male","95",3352.83701378781
"Total","Male","96",2638.87172066389
"Total","Male","97",2013.68448105757
"Total","Male","98",1489.67736702772
"Total","Male","99",1064.05526216266
"Total","Male","100+",742.542161365308
