"Race","Sex","Age","lx"
"Total","Male","87",9479.95647189243
"Total","Male","88",8167.8411867039
"Total","Male","89",6933.88319084457
"Total","Male","90",5798.04708720146
"Total","Male","91",4788.19425459636
"Total","Male","92",3918.63679078779
"Total","Male","93",3192.55274610151
"Total","Male","94",2583.52887308603
"Total","Male","95",2063.50378942417
"Total","Male","96",1605.56414550354
"Total","Male","97",1205.20851162906
"Total","Male","98",861.636163757249
"Total","Male","99",574.854711951988
"Total","Male","100+",357.214244875515
