"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"2.050806868","67.73941919","75.85422839","103.979826855471","1","4259.04535004489","6242.60889196895","4457.30032187926","2691.99470378906","1","1","1","1"
2021,"2.00946365433","67.06789733","75.60123101","103.977388090301","1.01924488","4259.04535004489","6242.60889196895","4457.30032187926","2691.99470378906","1.01924488","1.01924488","1.01924488","1.01924488"
2022,"1.97031621598","74.47734948","80.57944297","103.975424281867","1.01924488","4259.04535004489","6242.60889196895","4457.30032187926","2691.99470378906","1.01924488","1.01924488","1.01924488","1.01924488"
2023,"1.94125371724","74.61602947","80.73385029","103.973916231037","1.01924488","4259.04535004489","6242.60889196895","4457.30032187926","2691.99470378906","1.01924488","1.01924488","1.01924488","1.01924488"
2024,"1.91618466048","74.78520734","80.92163906","103.972841858971","1.01924488","4259.04535004489","6242.60889196895","4457.30032187926","2691.99470378906","1.01924488","1.01924488","1.01924488","1.01924488"
2025,"1.8843862465","74.93757914","81.09021884","103.972180233","1.01924488","4395.51007988613","6329.85053663139","4426.68296161728","2514.03461156627","1.01924488","1.01924488","1.01924488","1.01924488"
2026,"1.84423476532","75.10483468","81.2746529","103.97191181529","1.03713729","4395.51007988613","6329.85053663139","4426.68296161728","2514.03461156627","1.03713729","1.03713729","1.03713729","1.03713729"
2027,"1.80418820853","75.26165455","81.44699176","103.972018328573","1.03713729","4395.51007988613","6329.85053663139","4426.68296161728","2514.03461156627","1.03713729","1.03713729","1.03713729","1.03713729"
2028,"1.77092895116","75.42570018","81.62664047","103.972482992202","1.03713729","4395.51007988613","6329.85053663139","4426.68296161728","2514.03461156627","1.03713729","1.03713729","1.03713729","1.03713729"
2029,"1.74285793773","75.58331836","81.79864412","103.973291234681","1.03713729","4395.51007988613","6329.85053663139","4426.68296161728","2514.03461156627","1.03713729","1.03713729","1.03713729","1.03713729"
2030,"1.7138207583","75.74428868","81.97366653","103.974432243048","1.03713729","4475.2025391888","6493.47192701898","4404.97181200726","2557.09800195071","1.03713729","1.03713729","1.03713729","1.03713729"
2031,"1.68102463347","75.90120671","82.14366657","103.975901229278","1.05387395","4475.2025391888","6493.47192701898","4404.97181200726","2557.09800195071","1.05387395","1.05387395","1.05387395","1.05387395"
2032,"1.64731595776","76.05946691","82.31449695","103.977702419099","1.05387395","4475.2025391888","6493.47192701898","4404.97181200726","2557.09800195071","1.05387395","1.05387395","1.05387395","1.05387395"
2033,"1.61656518387","76.21505017","82.48180713","103.979853757219","1.05387395","4475.2025391888","6493.47192701898","4404.97181200726","2557.09800195071","1.05387395","1.05387395","1.05387395","1.05387395"
2034,"1.58909792768","76.37092835","82.64881168","103.982393659707","1.05387395","4475.2025391888","6493.47192701898","4404.97181200726","2557.09800195071","1.05387395","1.05387395","1.05387395","1.05387395"
2035,"1.56230398395","76.52490568","82.81314926","103.985391531289","1.05387395","4491.00146979789","6583.81036730589","4389.96177850327","2650.46653692597","1.05387395","1.05387395","1.05387395","1.05387395"
2036,"1.53420026928","76.67862611","82.97659631","103.988961908219","1.06961038","4491.00146979789","6583.81036730589","4389.96177850327","2650.46653692597","1.06961038","1.06961038","1.06961038","1.06961038"
2037,"1.50548732699","76.83089133","83.137867","103.993257028935","1.06961038","4491.00146979789","6583.81036730589","4389.96177850327","2650.46653692597","1.06961038","1.06961038","1.06961038","1.06961038"
2038,"1.47805020746","76.98260836","83.29794221","103.998246960324","1.06961038","4491.00146979789","6583.81036730589","4389.96177850327","2650.46653692597","1.06961038","1.06961038","1.06961038","1.06961038"
2039,"1.45241932113","77.13312884","83.45613093","104.002293210179","1.06961038","4491.00146979789","6583.81036730589","4389.96177850327","2650.46653692597","1.06961038","1.06961038","1.06961038","1.06961038"
2040,"1.4278061264","77.28295192","83.61297694","104.00600510096","1.06961038","4485.05478449738","6622.55697830369","4380.29884419525","2626.58675566156","1.06961038","1.06961038","1.06961038","1.06961038"
2041,"1.40302473799","77.43172821","83.76811294","104.00944534881","1.08447177","4485.05478449738","6622.55697830369","4380.29884419525","2626.58675566156","1.08447177","1.08447177","1.08447177","1.08447177"
2042,"1.37797314096","77.57973664","83.92183751","104.012656804873","1.08447177","4485.05478449738","6622.55697830369","4380.29884419525","2626.58675566156","1.08447177","1.08447177","1.08447177","1.08447177"
2043,"1.35349606315","77.72679295","84.07396892","104.015613103868","1.08447177","4485.05478449738","6622.55697830369","4380.29884419525","2626.58675566156","1.08447177","1.08447177","1.08447177","1.08447177"
2044,"1.33000419976","77.87305248","84.22467919","104.018287350327","1.08447177","4485.05478449738","6622.55697830369","4380.29884419525","2626.58675566156","1.08447177","1.08447177","1.08447177","1.08447177"
2045,"1.307281917","78.01842566","84.37387321","104.020675750567","1.08447177","4432.42408333041","6620.80431343235","4369.72156865809","2633.30038802899","1.08447177","1.08447177","1.08447177","1.08447177"
2046,"1.29356389065","78.16300242","84.52166088","104.022802736151","1.08447177","4432.42408333041","6620.80431343235","4369.72156865809","2633.30038802899","1.08447177","1.08447177","1.08447177","1.08447177"
2047,"1.27984895954","78.30674246","84.66800298","104.024722749615","1.08447177","4432.42408333041","6620.80431343235","4369.72156865809","2633.30038802899","1.08447177","1.08447177","1.08447177","1.08447177"
2048,"1.266356033565","78.44970503","84.81296934","104.026502733635","1.08447177","4432.42408333041","6620.80431343235","4369.72156865809","2633.30038802899","1.08447177","1.08447177","1.08447177","1.08447177"
2049,"1.25339629717","78.591876","84.95656075","104.028212581692","1.08447177","4432.42408333041","6620.80431343235","4369.72156865809","2633.30038802899","1.08447177","1.08447177","1.08447177","1.08447177"
2050,"1.2409308771","78.73330562","85.09881882","104.029915895368","1.08447177","4367.75514390266","6585.43429387028","4360.91896585123","2608.42153147444","1.08447177","1.08447177","1.08447177","1.08447177"
2051,"1.22875075656","78.87399584","85.23976817","104.031653563138","1.08447177","4367.75514390266","6585.43429387028","4360.91896585123","2608.42153147444","1.08447177","1.08447177","1.08447177","1.08447177"
2052,"1.21668095835","79.01398501","85.3794484","104.033436644879","1.08447177","4367.75514390266","6585.43429387028","4360.91896585123","2608.42153147444","1.08447177","1.08447177","1.08447177","1.08447177"
2053,"1.20469976614","79.15329085","85.51788912","104.034982160894","1.08447177","4367.75514390266","6585.43429387028","4360.91896585123","2608.42153147444","1.08447177","1.08447177","1.08447177","1.08447177"
2054,"1.19297197515","79.29195077","85.65513164","104.036530031457","1.08447177","4367.75514390266","6585.43429387028","4360.91896585123","2608.42153147444","1.08447177","1.08447177","1.08447177","1.08447177"
2055,"1.181518275","79.42998857","85.79120867","104.038113939582","1.08447177","4293.6422264103","6526.45254526522","4358.82594668405","2569.6757949415","1.08447177","1.08447177","1.08447177","1.08447177"
2056,"1.170263422785","79.56744557","85.9261679","104.039720571373","1.08447177","4293.6422264103","6526.45254526522","4358.82594668405","2569.6757949415","1.08447177","1.08447177","1.08447177","1.08447177"
2057,"1.15908069417","79.70435027","86.060044","104.041332280644","1.08447177","4293.6422264103","6526.45254526522","4358.82594668405","2569.6757949415","1.08447177","1.08447177","1.08447177","1.08447177"
2058,"1.148016264805","79.84073958","86.19287286","104.042934609287","1.08447177","4293.6422264103","6526.45254526522","4358.82594668405","2569.6757949415","1.08447177","1.08447177","1.08447177","1.08447177"
2059,"1.13703744792","79.97664549","86.32470051","104.044516913748","1.08447177","4293.6422264103","6526.45254526522","4358.82594668405","2569.6757949415","1.08447177","1.08447177","1.08447177","1.08447177"
2060,"1.12623586515","80.11210337","86.45556685","104.046072205182","1.08447177","4211.81802013866","6448.28915211856","4381.85431411608","2532.75032797966","1.08447177","1.08447177","1.08447177","1.08447177"
2061,"1.11559091891","80.24715218","86.58551072","104.047596831196","1.08447177","4211.81802013866","6448.28915211856","4381.85431411608","2532.75032797966","1.08447177","1.08447177","1.08447177","1.08447177"
2062,"1.105037012345","80.38182344","86.71456457","104.04908985368","1.08447177","4211.81802013866","6448.28915211856","4381.85431411608","2532.75032797966","1.08447177","1.08447177","1.08447177","1.08447177"
2063,"1.0945657767","80.51614502","86.84277131","104.050552472046","1.08447177","4211.81802013866","6448.28915211856","4381.85431411608","2532.75032797966","1.08447177","1.08447177","1.08447177","1.08447177"
