"Race","Sex","Age","International.migration"
"Total","Female","45",0.0114985057634837
"Total","Female","46",0.0114985057634837
"Total","Female","47",0.0114985057634837
"Total","Female","48",0.0114985057634837
"Total","Female","49",0.0114985057634837
"Total","Female","50",0.00976234523978938
"Total","Female","51",0.00976234523978938
"Total","Female","52",0.00976234523978938
"Total","Female","53",0.00976234523978938
"Total","Female","54",0.00976234523978938
"Total","Female","55",0.00825387789953038
"Total","Female","56",0.00825387789953038
"Total","Female","57",0.00825387789953038
"Total","Female","58",0.00825387789953038
"Total","Female","59",0.00825387789953038
"Total","Female","60",0.00660310231962431
"Total","Female","61",0.00660310231962431
"Total","Female","62",0.00660310231962431
"Total","Female","63",0.00660310231962431
"Total","Female","64",0.00660310231962431
"Total","Female","65",0.00463924861249466
"Total","Female","66",0.00463924861249466
"Total","Female","67",0.00463924861249466
"Total","Female","68",0.00463924861249466
"Total","Female","69",0.00463924861249466
"Total","Female","70",0.00287462644087093
"Total","Female","71",0.00287462644087093
"Total","Female","72",0.00287462644087093
"Total","Female","73",0.00287462644087093
"Total","Female","74",0.00287462644087093
"Total","Female","75",0.00182154546748257
"Total","Female","76",0.00182154546748257
"Total","Female","77",0.00182154546748257
"Total","Female","78",0.00182154546748257
"Total","Female","79",0.00182154546748257
"Total","Female","80",0.00102461932545894
"Total","Female","81",0.00102461932545894
"Total","Female","82",0.00102461932545894
"Total","Female","83",0.00102461932545894
"Total","Female","84",0.00102461932545894
"Total","Female","85",0.000683079550305963
"Total","Female","86",0.000683079550305963
"Total","Female","87",0.000683079550305963
"Total","Female","88",0.000683079550305963
"Total","Female","89",0.000683079550305963
"Total","Female","90",0
"Total","Female","91",0
"Total","Female","92",0
"Total","Female","93",0
"Total","Female","94",0
"Total","Female","95",0
"Total","Female","96",0
"Total","Female","97",0
"Total","Female","98",0
"Total","Female","99",0
"Total","Female","100+",0
