"Race","Sex","Age","International.migration"
"Total","Female","24",0.0269165836976754
"Total","Female","25",0.0269252413315441
"Total","Female","26",0.0269252413315441
"Total","Female","27",0.0269252413315441
"Total","Female","28",0.0269252413315441
"Total","Female","29",0.0269252413315441
"Total","Female","30",0.0209514739621661
"Total","Female","31",0.0209514739621661
"Total","Female","32",0.0209514739621661
"Total","Female","33",0.0209514739621661
"Total","Female","34",0.0209514739621661
"Total","Female","35",0.0151335440024241
"Total","Female","36",0.0151335440024241
"Total","Female","37",0.0151335440024241
"Total","Female","38",0.0151335440024241
"Total","Female","39",0.0151335440024241
"Total","Female","40",0.0113761309034241
"Total","Female","41",0.0113761309034241
"Total","Female","42",0.0113761309034241
"Total","Female","43",0.0113761309034241
"Total","Female","44",0.0113761309034241
"Total","Female","45",0.00933292931041946
"Total","Female","46",0.00933292931041946
"Total","Female","47",0.00933292931041946
"Total","Female","48",0.00933292931041946
"Total","Female","49",0.00933292931041946
"Total","Female","50",0.00764469070603004
"Total","Female","51",0.00764469070603004
"Total","Female","52",0.00764469070603004
"Total","Female","53",0.00764469070603004
"Total","Female","54",0.00764469070603004
"Total","Female","55",0.00611228951127657
"Total","Female","56",0.00611228951127657
"Total","Female","57",0.00611228951127657
"Total","Female","58",0.00611228951127657
"Total","Female","59",0.00611228951127657
"Total","Female","60",0.00479632916323969
"Total","Female","61",0.00479632916323969
"Total","Female","62",0.00479632916323969
"Total","Female","63",0.00479632916323969
"Total","Female","64",0.00479632916323969
"Total","Female","65",0.00354097225228345
"Total","Female","66",0.00354097225228345
"Total","Female","67",0.00354097225228345
"Total","Female","68",0.00354097225228345
"Total","Female","69",0.00354097225228345
"Total","Female","70",0.00256265962512445
"Total","Female","71",0.00256265962512445
"Total","Female","72",0.00256265962512445
"Total","Female","73",0.00256265962512445
"Total","Female","74",0.00256265962512445
"Total","Female","75",0.00181810311241938
"Total","Female","76",0.00181810311241938
"Total","Female","77",0.00181810311241938
"Total","Female","78",0.00181810311241938
"Total","Female","79",0.00181810311241938
"Total","Female","80",0.00118609584000693
"Total","Female","81",0.00118609584000693
"Total","Female","82",0.00118609584000693
"Total","Female","83",0.00118609584000693
"Total","Female","84",0.00118609584000693
"Total","Female","85",0.000649322540149777
"Total","Female","86",0.000649322540149777
"Total","Female","87",0.000649322540149777
"Total","Female","88",0.000649322540149777
"Total","Female","89",0.000649322540149777
"Total","Female","90",0
"Total","Female","91",0
"Total","Female","92",0
"Total","Female","93",0
"Total","Female","94",0
"Total","Female","95",0
"Total","Female","96",0
"Total","Female","97",0
"Total","Female","98",0
"Total","Female","99",0
"Total","Female","100+",0
