"Race","Sex","Age","lx"
"Total","Male","87",10070.3491093351
"Total","Male","88",8609.7641240117
"Total","Male","89",7263.89887745326
"Total","Male","90",6051.71075474399
"Total","Male","91",4972.23270282653
"Total","Male","92",4025.140759431
"Total","Male","93",3214.32103810677
"Total","Male","94",2528.97681676594
"Total","Male","95",1949.82182056
"Total","Male","96",1465.69143673746
"Total","Male","97",1071.47098133911
"Total","Male","98",761.245530171885
"Total","Male","99",523.215954365927
"Total","Male","100+",348.810636243951
