"Race","Sex","Age","lx"
"Total","Male","87",12729.7848592877
"Total","Male","88",10931.9094002649
"Total","Male","89",9269.38085445707
"Total","Male","90",7751.89778383616
"Total","Male","91",6399.50807974751
"Total","Male","92",5229.88519310959
"Total","Male","93",4251.79885336412
"Total","Male","94",3441.35639767309
"Total","Male","95",2754.38129757263
"Total","Male","96",2164.15673380706
"Total","Male","97",1645.97836092368
"Total","Male","98",1209.29022435209
"Total","Male","99",858.503747059119
"Total","Male","100+",595.902600899859
