"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"1.656575911","65.59071472","72.59656723","104.118629949181","1","4944.87606775809","7561.35558059996","8460.78178582796","5346.51244078012","1","1","1","1"
2021,"1.61325357534","67.84762609","74.94050656","104.110347188275","1.01924488","4944.87606775809","7561.35558059996","8460.78178582796","5346.51244078012","1.01924488","1.01924488","1.01924488","1.01924488"
2022,"1.5746557092","73.28512879","79.41329751","104.103057480529","1.01924488","4944.87606775809","7561.35558059996","8460.78178582796","5346.51244078012","1.01924488","1.01924488","1.01924488","1.01924488"
2023,"1.53725266708","73.43114067","79.57623428","104.096735832187","1.01924488","4944.87606775809","7561.35558059996","8460.78178582796","5346.51244078012","1.01924488","1.01924488","1.01924488","1.01924488"
2024,"1.50075040608","73.60925612","79.77439405","104.091346422625","1.01924488","4944.87606775809","7561.35558059996","8460.78178582796","5346.51244078012","1.01924488","1.01924488","1.01924488","1.01924488"
2025,"1.4657284304","73.76967618","79.95228157","104.086849614585","1.01924488","5103.31560554746","7667.02696065033","8402.66436377248","4993.06975172419","1.01924488","1.01924488","1.01924488","1.01924488"
2026,"1.4320822309","73.94576179","80.14689458","104.083202575256","1.03713729","5103.31560554746","7667.02696065033","8402.66436377248","4993.06975172419","1.03713729","1.03713729","1.03713729","1.03713729"
2027,"1.39919100501","74.11086705","80.32873917","104.080359421373","1.03713729","5103.31560554746","7667.02696065033","8402.66436377248","4993.06975172419","1.03713729","1.03713729","1.03713729","1.03713729"
2028,"1.3673364852","74.28358425","80.51829305","104.078272427243","1.03713729","5103.31560554746","7667.02696065033","8402.66436377248","4993.06975172419","1.03713729","1.03713729","1.03713729","1.03713729"
2029,"1.33680948128","74.44953577","80.699772","104.076894263308","1.03713729","5103.31560554746","7667.02696065033","8402.66436377248","4993.06975172419","1.03713729","1.03713729","1.03713729","1.03713729"
2030,"1.3080483333","74.6190264","80.88443812","104.076182063377","1.03713729","5195.840878795","7865.21325338835","8361.45257952985","5078.59701970452","1.03713729","1.03713729","1.03713729","1.03713729"
2031,"1.28081009741","74.78425626","81.06379712","104.076103657696","1.05387395","5195.840878795","7865.21325338835","8361.45257952985","5078.59701970452","1.05387395","1.05387395","1.05387395","1.05387395"
2032,"1.2548660916","74.95091675","81.24402875","104.076646411536","1.05387395","5195.840878795","7865.21325338835","8361.45257952985","5078.59701970452","1.05387395","1.05387395","1.05387395","1.05387395"
2033,"1.22997982083","75.11476449","81.42054252","104.077830766562","1.05387395","5195.840878795","7865.21325338835","8361.45257952985","5078.59701970452","1.05387395","1.05387395","1.05387395","1.05387395"
2034,"1.20605586182","75.27893336","81.5967233","104.079731072089","1.05387395","5195.840878795","7865.21325338835","8361.45257952985","5078.59701970452","1.05387395","1.05387395","1.05387395","1.05387395"
2035,"1.18315616125","75.44112317","81.77009246","104.082510032966","1.05387395","5214.18389875467","7974.63562493639","8332.96075512847","5264.0342470215","1.05387395","1.05387395","1.05387395","1.05387395"
2036,"1.16119716804","75.60305296","81.94251142","104.0864784797","1.06961038","5214.18389875467","7974.63562493639","8332.96075512847","5264.0342470215","1.06961038","1.06961038","1.06961038","1.06961038"
2037,"1.14017345763","75.76346852","82.11263492","104.092162299078","1.06961038","5214.18389875467","7974.63562493639","8332.96075512847","5264.0342470215","1.06961038","1.06961038","1.06961038","1.06961038"
2038,"1.11989842944","75.92332424","82.28148599","104.100020972838","1.06961038","5214.18389875467","7974.63562493639","8332.96075512847","5264.0342470215","1.06961038","1.06961038","1.06961038","1.06961038"
2039,"1.10028436317","76.08193763","82.44834589","104.106058029448","1.06961038","5214.18389875467","7974.63562493639","8332.96075512847","5264.0342470215","1.06961038","1.06961038","1.06961038","1.06961038"
2040,"1.0812789136","76.23983987","82.61378124","104.111716689874","1.06961038","5207.27962340464","8021.56742995055","8314.61871562316","5216.60713008341","1.06961038","1.06961038","1.06961038","1.06961038"
2041,"1.06267617169","76.39665682","82.77740545","104.116949496696","1.08447177","5207.27962340464","8021.56742995055","8314.61871562316","5216.60713008341","1.08447177","1.08447177","1.08447177","1.08447177"
2042,"1.04466132342","76.55269056","82.93954201","104.121725999704","1.08447177","5207.27962340464","8021.56742995055","8314.61871562316","5216.60713008341","1.08447177","1.08447177","1.08447177","1.08447177"
2043,"1.0271059414","76.70774188","83.0999863","104.125916429393","1.08447177","5207.27962340464","8021.56742995055","8314.61871562316","5216.60713008341","1.08447177","1.08447177","1.08447177","1.08447177"
2044,"1.0098935822","76.86197838","83.25892522","104.129422832057","1.08447177","5207.27962340464","8021.56742995055","8314.61871562316","5216.60713008341","1.08447177","1.08447177","1.08447177","1.08447177"
2045,"0.9931107045","77.0153004","83.41626308","104.132247090157","1.08447177","5146.17384188787","8019.44451587165","8294.54108707092","5229.94093008115","1.08447177","1.08447177","1.08447177","1.08447177"
2046,"0.98329308803","77.16781006","83.57210835","104.134486126882","1.08447177","5146.17384188787","8019.44451587165","8294.54108707092","5229.94093008115","1.08447177","1.08447177","1.08447177","1.08447177"
2047,"0.97380524368","77.31946346","83.72642174","104.136309246595","1.08447177","5146.17384188787","8019.44451587165","8294.54108707092","5229.94093008115","1.08447177","1.08447177","1.08447177","1.08447177"
2048,"0.964655178375","77.47032421","83.87928339","104.137913435031","1.08447177","5146.17384188787","8019.44451587165","8294.54108707092","5229.94093008115","1.08447177","1.08447177","1.08447177","1.08447177"
2049,"0.95575210507","77.62037218","84.03068203","104.139491030543","1.08447177","5146.17384188787","8019.44451587165","8294.54108707092","5229.94093008115","1.08447177","1.08447177","1.08447177","1.08447177"
2050,"0.9471139377","77.76966693","84.18067192","104.141209150442","1.08447177","5071.09131408613","7976.60260483255","8277.83211614279","5180.529571324","1.08447177","1.08447177","1.08447177","1.08447177"
2051,"0.93868463304","77.91820479","84.32927188","104.143189618446","1.08447177","5071.09131408613","7976.60260483255","8277.83211614279","5180.529571324","1.08447177","1.08447177","1.08447177","1.08447177"
2052,"0.93052115728","78.06603586","84.47653363","104.145490779958","1.08447177","5071.09131408613","7976.60260483255","8277.83211614279","5180.529571324","1.08447177","1.08447177","1.08447177","1.08447177"
2053,"0.92248852026","78.21316911","84.62247588","104.147086684682","1.08447177","5071.09131408613","7976.60260483255","8277.83211614279","5180.529571324","1.08447177","1.08447177","1.08447177","1.08447177"
2054,"0.914576007765","78.35965277","84.76715134","104.148901741701","1.08447177","5071.09131408613","7976.60260483255","8277.83211614279","5180.529571324","1.08447177","1.08447177","1.08447177","1.08447177"
2055,"0.906839143","78.50550447","84.91058767","104.150961263178","1.08447177","4985.04405187141","7905.161003783","8273.85917800351","5103.57750224712","1.08447177","1.08447177","1.08447177","1.08447177"
2056,"0.899213659085","78.65077327","85.05283733","104.153187677839","1.08447177","4985.04405187141","7905.161003783","8273.85917800351","5103.57750224712","1.08447177","1.08447177","1.08447177","1.08447177"
2057,"0.8916992337","78.79548586","85.19393562","104.155509168735","1.08447177","4985.04405187141","7905.161003783","8273.85917800351","5103.57750224712","1.08447177","1.08447177","1.08447177","1.08447177"
2058,"0.884226287075","78.93968048","85.33393075","104.157872187181","1.08447177","4985.04405187141","7905.161003783","8273.85917800351","5103.57750224712","1.08447177","1.08447177","1.08447177","1.08447177"
2059,"0.87686263976","79.08339312","85.47285763","104.160240347447","1.08447177","4985.04405187141","7905.161003783","8273.85917800351","5103.57750224712","1.08447177","1.08447177","1.08447177","1.08447177"
2060,"0.8695820124","79.22666664","85.61076485","104.162591951225","1.08447177","4890.04375811975","7810.48564942459","8317.57128570464","5030.24063118449","1.08447177","1.08447177","1.08447177","1.08447177"
2061,"0.86230133573","79.36953118","85.74769163","104.164917133033","1.08447177","4890.04375811975","7810.48564942459","8317.57128570464","5030.24063118449","1.08447177","1.08447177","1.08447177","1.08447177"
2062,"0.85511686064","79.51202329","85.88367425","104.167215110362","1.08447177","4890.04375811975","7810.48564942459","8317.57128570464","5030.24063118449","1.08447177","1.08447177","1.08447177","1.08447177"
2063,"0.84800055648","79.65418092","86.01875575","104.169491366806","1.08447177","4890.04375811975","7810.48564942459","8317.57128570464","5030.24063118449","1.08447177","1.08447177","1.08447177","1.08447177"
