"Race","Sex","Age","lx"
"Total","Male","87",5171.54639644178
"Total","Male","88",4294.75008316658
"Total","Male","89",3525.75766962662
"Total","Male","90",2855.15246445268
"Total","Male","91",2282.23322682271
"Total","Male","92",1799.90558610244
"Total","Male","93",1401.14046383999
"Total","Male","94",1075.05686498268
"Total","Male","95",809.844598731449
"Total","Male","96",594.763919393557
"Total","Male","97",425.97956388998
"Total","Male","98",296.894847559683
"Total","Male","99",200.694282428613
"Total","Male","100+",131.281222340521
