"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"2.155495828","66.02694702","74.24636892","103.975383703577","1","2946.69323335421","3746.83632471972","3240.93587780906","2028.88284108482","1","1","1","1"
2021,"2.11950095941","69.12703745","76.59152301","103.963807373464","0.99696334","2946.69323335421","3746.83632471972","3240.93587780906","2028.88284108482","0.99696334","0.99696334","0.99696334","0.99696334"
2022,"2.07875820141","73.60798356","79.7292053","103.953512988517","0.99696334","2946.69323335421","3746.83632471972","3240.93587780906","2028.88284108482","0.99696334","0.99696334","0.99696334","0.99696334"
2023,"2.038306707335","73.64998776","79.7881207","103.944442331609","0.99696334","2946.69323335421","3746.83632471972","3240.93587780906","2028.88284108482","0.99696334","0.99696334","0.99696334","0.99696334"
2024,"2.00252998806","73.72319624","79.88139051","103.936535806641","0.99696334","2946.69323335421","3746.83632471972","3240.93587780906","2028.88284108482","0.99696334","0.99696334","0.99696334","0.99696334"
2025,"1.971571757025","73.77918062","79.95488698","103.92974149508","0.99696334","3023.8805387984","3777.67627773313","3208.76486189222","1888.92603684315","0.99696334","0.99696334","0.99696334","0.99696334"
2026,"1.94218729374","73.85037961","80.0447007","103.92401499572","0.99279534","3023.8805387984","3777.67627773313","3208.76486189222","1888.92603684315","0.99279534","0.99279534","0.99279534","0.99279534"
2027,"1.911457570355","73.91088571","80.12205872","103.9193187086","0.99279534","3023.8805387984","3777.67627773313","3208.76486189222","1888.92603684315","0.99279534","0.99279534","0.99279534","0.99279534"
2028,"1.87930793664","73.9787709","80.20694391","103.915622486388","0.99279534","3023.8805387984","3777.67627773313","3208.76486189222","1888.92603684315","0.99279534","0.99279534","0.99279534","0.99279534"
2029,"1.847527929145","74.04006127","80.28395162","103.912905335393","0.99279534","3023.8805387984","3777.67627773313","3208.76486189222","1888.92603684315","0.99279534","0.99279534","0.99279534","0.99279534"
2030,"1.81742309395","74.10476769","80.36407069","103.911158196365","0.99279534","3040.18131842458","3826.83459882155","3164.67100499589","1904.21961100033","0.99279534","0.99279534","0.99279534","0.99279534"
2031,"1.789507701135","74.16531437","80.43901777","103.910387793753","0.986265945","3040.18131842458","3826.83459882155","3164.67100499589","1904.21961100033","0.986265945","0.986265945","0.986265945","0.986265945"
2032,"1.76327829744","74.22722911","80.51481394","103.910621973402","0.986265945","3040.18131842458","3826.83459882155","3164.67100499589","1904.21961100033","0.986265945","0.986265945","0.986265945","0.986265945"
2033,"1.7380179432","74.28638664","80.58698429","103.91191684484","0.986265945","3040.18131842458","3826.83459882155","3164.67100499589","1904.21961100033","0.986265945","0.986265945","0.986265945","0.986265945"
2034,"1.71348120816","74.34584265","80.65883521","103.914366206177","0.986265945","3040.18131842458","3826.83459882155","3164.67100499589","1904.21961100033","0.986265945","0.986265945","0.986265945","0.986265945"
2035,"1.689755034075","74.4033459","80.72794944","103.918113378261","0.986265945","2999.91035237069","3815.20893848337","3114.28213561737","1948.96377582634","0.986265945","0.986265945","0.986265945","0.986265945"
2036,"1.66701857596","74.46057527","80.79612993","103.923356308398","0.97817625","2999.91035237069","3815.20893848337","3114.28213561737","1948.96377582634","0.97817625","0.97817625","0.97817625","0.97817625"
2037,"1.645428896505","74.51630955","80.86208024","103.930255994831","0.97817625","2999.91035237069","3815.20893848337","3114.28213561737","1948.96377582634","0.97817625","0.97817625","0.97817625","0.97817625"
2038,"1.62477948633","74.57148009","80.92679151","103.938283182639","0.97817625","2999.91035237069","3815.20893848337","3114.28213561737","1948.96377582634","0.97817625","0.97817625","0.97817625","0.97817625"
2039,"1.605126676485","74.62541859","80.98955921","103.943908289341","0.97817625","2999.91035237069","3815.20893848337","3114.28213561737","1948.96377582634","0.97817625","0.97817625","0.97817625","0.97817625"
2040,"1.5860536587","74.67864176","81.05094243","103.948786158223","0.97817625","2936.99873074273","3762.16331277787","3058.35286372597","1900.9024341067","0.97817625","0.97817625","0.97817625","0.97817625"
2041,"1.567618930245","74.73078911","81.11056195","103.953211556583","0.969498895","2936.99873074273","3762.16331277787","3058.35286372597","1900.9024341067","0.969498895","0.969498895","0.969498895","0.969498895"
2042,"1.54973045753","74.7821509","81.1687297","103.957359622354","0.969498895","2936.99873074273","3762.16331277787","3058.35286372597","1900.9024341067","0.969498895","0.969498895","0.969498895","0.969498895"
2043,"1.532330636595","74.83253179","81.22525214","103.961207398215","0.969498895","2936.99873074273","3762.16331277787","3058.35286372597","1900.9024341067","0.969498895","0.969498895","0.969498895","0.969498895"
2044,"1.51553409744","74.88210158","81.2803082","103.964702227317","0.969498895","2936.99873074273","3762.16331277787","3058.35286372597","1900.9024341067","0.969498895","0.969498895","0.969498895","0.969498895"
2045,"1.49925754825","74.93075972","81.33380257","103.967829224648","0.969498895","2849.6359005267","3692.6211554031","3004.50710633659","1876.73995316561","0.969498895","0.969498895","0.969498895","0.969498895"
2046,"1.487850188195","74.9786061","81.3858485","103.970617937831","0.96288359","2849.6359005267","3692.6211554031","3004.50710633659","1876.73995316561","0.96288359","0.96288359","0.96288359","0.96288359"
2047,"1.47688778616","75.02559472","81.43640091","103.97313935774","0.96288359","2849.6359005267","3692.6211554031","3004.50710633659","1876.73995316561","0.96288359","0.96288359","0.96288359","0.96288359"
2048,"1.4664235051125","75.07178886","81.48553696","103.975490843719","0.96288359","2849.6359005267","3692.6211554031","3004.50710633659","1876.73995316561","0.96288359","0.96288359","0.96288359","0.96288359"
2049,"1.45629708925","75.11717734","81.53324854","103.977774432053","0.96288359","2849.6359005267","3692.6211554031","3004.50710633659","1876.73995316561","0.96288359","0.96288359","0.96288359","0.96288359"
2050,"1.4466711335625","75.16180558","81.57959237","103.980075330031","0.96288359","2752.221305645","3599.8584445361","2950.00951921114","1828.97345939975","0.96288359","0.96288359","0.96288359","0.96288359"
2051,"1.43734104026","75.20568001","81.62458171","103.98246377805","0.954410485","2752.221305645","3599.8584445361","2950.00951921114","1828.97345939975","0.954410485","0.954410485","0.954410485","0.954410485"
2052,"1.42844961602","75.24884215","81.66826443","103.98496940247","0.954410485","2752.221305645","3599.8584445361","2950.00951921114","1828.97345939975","0.954410485","0.954410485","0.954410485","0.954410485"
2053,"1.41979107438","75.29130308","81.71066695","103.987274098113","0.954410485","2752.221305645","3599.8584445361","2950.00951921114","1828.97345939975","0.954410485","0.954410485","0.954410485","0.954410485"
2054,"1.41141029392","75.33311032","81.75183468","103.989587599128","0.954410485","2752.221305645","3599.8584445361","2950.00951921114","1828.97345939975","0.954410485","0.954410485","0.954410485","0.954410485"
2055,"1.40326546155","75.37428602","81.79179965","103.991937087961","0.954410485","2641.88549940601","3483.70407251241","2892.8245991459","1767.72675183828","0.954410485","0.954410485","0.954410485","0.954410485"
2056,"1.3953620891925","75.41486773","81.83060723","103.994306016003","0.94992529","2641.88549940601","3483.70407251241","2892.8245991459","1767.72675183828","0.94992529","0.94992529","0.94992529","0.94992529"
2057,"1.387707840155","75.45488507","81.86829561","103.996673751499","0.94992529","2641.88549940601","3483.70407251241","2892.8245991459","1767.72675183828","0.94992529","0.94992529","0.94992529","0.94992529"
2058,"1.380138532405","75.49438162","81.90491143","103.999023867628","0.94992529","2641.88549940601","3483.70407251241","2892.8245991459","1767.72675183828","0.94992529","0.94992529","0.94992529","0.94992529"
2059,"1.37279885148","75.5333863","81.94048798","104.001344836714","0.94992529","2641.88549940601","3483.70407251241","2892.8245991459","1767.72675183828","0.94992529","0.94992529","0.94992529","0.94992529"
2060,"1.3656768279125","75.57194201","81.97507179","104.003629336876","0.94992529","2523.26118979291","3351.29799873359","2833.89451776051","1697.86186272891","0.94992529","0.94992529","0.94992529","0.94992529"
2061,"1.358686155915","75.61008022","82.00870144","104.005874033077","0.9436521","2523.26118979291","3351.29799873359","2833.89451776051","1697.86186272891","0.9436521","0.9436521","0.9436521","0.9436521"
2062,"1.351827291195","75.64783457","82.04141901","104.008078542332","0.9436521","2523.26118979291","3351.29799873359","2833.89451776051","1697.86186272891","0.9436521","0.9436521","0.9436521","0.9436521"
2063,"1.34507633783","75.68523949","82.07324993","104.010244462781","0.9436521","2523.26118979291","3351.29799873359","2833.89451776051","1697.86186272891","0.9436521","0.9436521","0.9436521","0.9436521"
